ID,Anggaran Belanja,Jenis Anggaran,Jumlah Anggaran,Satuan,Tahun
73,BELANJA PEGAWAI,MURNI,2104513144638,RUPIAH,2016
74,BELANJA PEGAWAI,PERUBAHAN,1964995266290,RUPIAH,2016
75,BELANJA PEGAWAI,REALISASI,1835034492249,RUPIAH,2016
76,BELANJA BUNGA,MURNI,0,RUPIAH,2016
77,BELANJA BUNGA,PERUBAHAN,0,RUPIAH,2016
78,BELANJA BUNGA,REALISASI,0,RUPIAH,2016
79,BELANJA SUBSIDI,MURNI,15000000000,RUPIAH,2016
80,BELANJA SUBSIDI,PERUBAHAN,15000000000,RUPIAH,2016
81,BELANJA SUBSIDI,REALISASI,14999772000,RUPIAH,2016
82,BELANJA HIBAH,MURNI,9658666532413,RUPIAH,2016
83,BELANJA HIBAH,PERUBAHAN,10180627452113,RUPIAH,2016
84,BELANJA HIBAH,REALISASI,9854923609133,RUPIAH,2016
85,BELANJA BANTUAN SOSIAL,MURNI,19456000000,RUPIAH,2016
86,BELANJA BANTUAN SOSIAL,PERUBAHAN,18380000000,RUPIAH,2016
87,BELANJA BANTUAN SOSIAL,REALISASI,9940000000,RUPIAH,2016
88,BELANJA BAGI HASIL,MURNI,6384562828460,RUPIAH,2016
89,BELANJA BAGI HASIL,PERUBAHAN,6572457593224,RUPIAH,2016
90,BELANJA BAGI HASIL,REALISASI,6393271239759,RUPIAH,2016
91,BELANJA BANTUAN KEUANGAN,MURNI,3523311001587,RUPIAH,2016
92,BELANJA BANTUAN KEUANGAN,PERUBAHAN,4027435706096,RUPIAH,2016
93,BELANJA BANTUAN KEUANGAN,REALISASI,3640311644356,RUPIAH,2016
94,BELANJA TIDAK TERDUGA,MURNI,50000000000,RUPIAH,2016
95,BELANJA TIDAK TERDUGA,PERUBAHAN,29005930833,RUPIAH,2016
96,BELANJA TIDAK TERDUGA,REALISASI,19884000,RUPIAH,2016
97,BELANJA PEGAWAI,MURNI,5054514042136,RUPIAH,2017
98,BELANJA PEGAWAI,PERUBAHAN,5199192018051,RUPIAH,2017
99,BELANJA PEGAWAI,REALISASI,5152653055073,RUPIAH,2017
100,BELANJA BUNGA,MURNI,0,RUPIAH,2017
